I_mag,N_pix,noise,noise_ro,noise_sky,noise_star,noise_sys
4,13,6.091e-05,1.543e-07,3.047e-06,1.004e-05,6e-05
4.05,13,6.096e-05,1.616e-07,3.191e-06,1.028e-05,6e-05
4.1,13,6.101e-05,1.692e-07,3.341e-06,1.052e-05,6e-05
4.15,13,6.106e-05,1.772e-07,3.499e-06,1.076e-05,6e-05
4.2,13,6.111e-05,1.855e-07,3.664e-06,1.101e-05,6e-05
4.25,13,6.117e-05,1.943e-07,3.836e-06,1.127e-05,6e-05
4.3,13,6.123e-05,2.035e-07,4.017e-06,1.153e-05,6e-05
4.35,13,6.129e-05,2.13e-07,4.207e-06,1.18e-05,6e-05
4.4,13,6.136e-05,2.231e-07,4.405e-06,1.208e-05,6e-05
4.45,13,6.143e-05,2.336e-07,4.612e-06,1.236e-05,6e-05
4.5,13,6.151e-05,2.446e-07,4.83e-06,1.265e-05,6e-05
4.55,13,6.159e-05,2.561e-07,5.057e-06,1.294e-05,6e-05
4.6,13,6.167e-05,2.682e-07,5.296e-06,1.324e-05,6e-05
4.65,12,6.176e-05,2.748e-07,5.214e-06,1.368e-05,6e-05
4.7,12,6.185e-05,2.878e-07,5.46e-06,1.399e-05,6e-05
4.75,12,6.195e-05,3.014e-07,5.717e-06,1.432e-05,6e-05
4.8,12,6.205e-05,3.156e-07,5.987e-06,1.465e-05,6e-05
4.85,12,6.216e-05,3.304e-07,6.269e-06,1.499e-05,6e-05
4.9,12,6.228e-05,3.46e-07,6.564e-06,1.534e-05,6e-05
4.95,12,6.24e-05,3.623e-07,6.874e-06,1.57e-05,6e-05
5,12,6.253e-05,3.794e-07,7.198e-06,1.607e-05,6e-05
5.05,12,6.267e-05,3.973e-07,7.537e-06,1.644e-05,6e-05
5.1,12,6.281e-05,4.16e-07,7.892e-06,1.682e-05,6e-05
5.15,12,6.297e-05,4.356e-07,8.264e-06,1.722e-05,6e-05
5.2,12,6.313e-05,4.561e-07,8.653e-06,1.762e-05,6e-05
5.25,12,6.33e-05,4.776e-07,9.061e-06,1.803e-05,6e-05
5.3,12,6.349e-05,5.001e-07,9.488e-06,1.845e-05,6e-05
5.35,12,6.368e-05,5.237e-07,9.935e-06,1.888e-05,6e-05
5.4,12,6.389e-05,5.484e-07,1.04e-05,1.932e-05,6e-05
5.45,12,6.411e-05,5.742e-07,1.089e-05,1.977e-05,6e-05
5.5,11,6.434e-05,5.941e-07,1.079e-05,2.055e-05,6e-05
5.55,11,6.458e-05,6.221e-07,1.13e-05,2.103e-05,6e-05
5.6,11,6.483e-05,6.514e-07,1.183e-05,2.152e-05,6e-05
5.65,11,6.511e-05,6.821e-07,1.239e-05,2.202e-05,6e-05
5.7,11,6.539e-05,7.143e-07,1.297e-05,2.253e-05,6e-05
5.75,11,6.57e-05,7.479e-07,1.358e-05,2.306e-05,6e-05
5.8,11,6.603e-05,7.832e-07,1.423e-05,2.359e-05,6e-05
5.85,10,6.637e-05,8.132e-07,1.408e-05,2.462e-05,6e-05
5.9,10,6.673e-05,8.515e-07,1.475e-05,2.519e-05,6e-05
5.95,10,6.711e-05,8.917e-07,1.544e-05,2.578e-05,6e-05
6,10,6.751e-05,9.337e-07,1.617e-05,2.638e-05,6e-05
6.05,9,6.794e-05,9.692e-07,1.592e-05,2.76e-05,6e-05
6.1,9,6.838e-05,1.015e-06,1.667e-05,2.824e-05,6e-05
6.15,9,6.885e-05,1.063e-06,1.746e-05,2.89e-05,6e-05
6.2,9,6.935e-05,1.113e-06,1.828e-05,2.957e-05,6e-05
6.25,8,6.988e-05,1.154e-06,1.788e-05,3.101e-05,6e-05
6.3,8,7.042e-05,1.208e-06,1.872e-05,3.173e-05,6e-05
6.35,7,7.099e-05,1.247e-06,1.807e-05,3.333e-05,6e-05
6.4,7,7.158e-05,1.306e-06,1.892e-05,3.411e-05,6e-05
6.45,7,7.22e-05,1.367e-06,1.981e-05,3.49e-05,6e-05
6.5,7,7.286e-05,1.432e-06,2.075e-05,3.572e-05,6e-05
6.55,6,7.353e-05,1.471e-06,1.973e-05,3.762e-05,6e-05
6.6,6,7.424e-05,1.54e-06,2.066e-05,3.85e-05,6e-05
6.65,6,7.498e-05,1.613e-06,2.163e-05,3.939e-05,6e-05
6.7,6,7.577e-05,1.689e-06,2.265e-05,4.031e-05,6e-05
6.75,6,7.66e-05,1.768e-06,2.372e-05,4.125e-05,6e-05
6.8,5,7.745e-05,1.808e-06,2.214e-05,4.365e-05,6e-05
6.85,5,7.834e-05,1.893e-06,2.318e-05,4.467e-05,6e-05
6.9,5,7.926e-05,1.982e-06,2.427e-05,4.571e-05,6e-05
6.95,5,8.024e-05,2.076e-06,2.542e-05,4.678e-05,6e-05
7,4,8.122e-05,2.093e-06,2.293e-05,4.967e-05,6e-05
7.05,4,8.224e-05,2.192e-06,2.401e-05,5.082e-05,6e-05
7.1,4,8.332e-05,2.295e-06,2.514e-05,5.201e-05,6e-05
7.15,4,8.444e-05,2.403e-06,2.632e-05,5.322e-05,6e-05
7.2,4,8.563e-05,2.517e-06,2.756e-05,5.446e-05,6e-05
7.25,4,8.686e-05,2.635e-06,2.886e-05,5.573e-05,6e-05
7.3,4,8.816e-05,2.759e-06,3.022e-05,5.703e-05,6e-05
7.35,4,8.953e-05,2.889e-06,3.165e-05,5.835e-05,6e-05
7.4,4,9.096e-05,3.026e-06,3.314e-05,5.971e-05,6e-05
7.45,4,9.245e-05,3.168e-06,3.47e-05,6.11e-05,6e-05
7.5,4,9.403e-05,3.317e-06,3.634e-05,6.253e-05,6e-05
7.55,4,9.567e-05,3.474e-06,3.805e-05,6.398e-05,6e-05
7.6,4,9.74e-05,3.638e-06,3.984e-05,6.547e-05,6e-05
7.65,4,9.922e-05,3.809e-06,4.172e-05,6.7e-05,6e-05
7.7,4,0.0001011,3.988e-06,4.368e-05,6.856e-05,6e-05
7.75,4,0.0001031,4.176e-06,4.574e-05,7.016e-05,6e-05
7.8,4,0.0001052,4.373e-06,4.79e-05,7.179e-05,6e-05
7.85,4,0.0001074,4.579e-06,5.016e-05,7.346e-05,6e-05
7.9,4,0.0001097,4.795e-06,5.252e-05,7.517e-05,6e-05
7.95,4,0.0001121,5.021e-06,5.5e-05,7.693e-05,6e-05
8,4,0.0001146,5.258e-06,5.759e-05,7.872e-05,6e-05
8.05,4,0.0001173,5.506e-06,6.03e-05,8.055e-05,6e-05
8.1,4,0.0001201,5.765e-06,6.314e-05,8.243e-05,6e-05
8.15,4,0.000123,6.037e-06,6.612e-05,8.435e-05,6e-05
8.2,4,0.000126,6.321e-06,6.924e-05,8.631e-05,6e-05
8.25,4,0.0001292,6.619e-06,7.25e-05,8.832e-05,6e-05
8.3,4,0.0001326,6.931e-06,7.592e-05,9.038e-05,6e-05
8.35,4,0.0001361,7.258e-06,7.949e-05,9.248e-05,6e-05
8.4,4,0.0001398,7.6e-06,8.324e-05,9.464e-05,6e-05
8.45,4,0.0001437,7.958e-06,8.716e-05,9.684e-05,6e-05
8.5,4,0.0001477,8.333e-06,9.127e-05,9.91e-05,6e-05
8.55,4,0.000152,8.726e-06,9.557e-05,0.0001014,6e-05
8.6,4,0.0001564,9.137e-06,0.0001001,0.0001038,6e-05
8.65,4,0.0001611,9.568e-06,0.0001048,0.0001062,6e-05
8.7,4,0.000166,1.002e-05,0.0001097,0.0001087,6e-05
8.75,4,0.0001711,1.049e-05,0.0001149,0.0001112,6e-05
8.8,4,0.0001765,1.099e-05,0.0001203,0.0001138,6e-05
8.85,4,0.0001821,1.15e-05,0.000126,0.0001164,6e-05
8.9,4,0.000188,1.204e-05,0.0001319,0.0001191,6e-05
8.95,4,0.0001942,1.261e-05,0.0001381,0.0001219,6e-05
9,4,0.0002007,1.321e-05,0.0001447,0.0001248,6e-05
9.05,4,0.0002074,1.383e-05,0.0001515,0.0001277,6e-05
9.1,4,0.0002146,1.448e-05,0.0001586,0.0001306,6e-05
9.15,4,0.000222,1.516e-05,0.0001661,0.0001337,6e-05
9.2,4,0.0002298,1.588e-05,0.0001739,0.0001368,6e-05
9.25,4,0.000238,1.663e-05,0.0001821,0.00014,6e-05
9.3,4,0.0002465,1.741e-05,0.0001907,0.0001432,6e-05
9.35,3,0.0002554,1.96e-05,0.0001859,0.0001633,6e-05
9.4,3,0.0002643,2.053e-05,0.0001947,0.0001671,6e-05
9.45,3,0.0002736,2.149e-05,0.0002039,0.000171,6e-05
9.5,3,0.0002834,2.251e-05,0.0002135,0.000175,6e-05
9.55,3,0.0002936,2.357e-05,0.0002236,0.0001791,6e-05
9.6,3,0.0003043,2.468e-05,0.0002341,0.0001833,6e-05
9.65,3,0.0003155,2.584e-05,0.0002451,0.0001875,6e-05
9.7,3,0.0003272,2.706e-05,0.0002567,0.0001919,6e-05
9.75,3,0.0003394,2.834e-05,0.0002688,0.0001964,6e-05
9.8,3,0.0003522,2.967e-05,0.0002814,0.0002009,6e-05
9.85,3,0.0003656,3.107e-05,0.0002947,0.0002056,6e-05
9.9,3,0.0003797,3.253e-05,0.0003086,0.0002104,6e-05
9.95,3,0.0003944,3.407e-05,0.0003231,0.0002153,6e-05
10,3,0.0004098,3.567e-05,0.0003384,0.0002203,6e-05
10.05,3,0.0004259,3.735e-05,0.0003543,0.0002255,6e-05
10.1,3,0.0004427,3.911e-05,0.000371,0.0002307,6e-05
