I_mag,N_pix,noise,noise_ro,noise_sky,noise_star,noise_sys
4,33,6.079e-05,2.273e-07,1.272e-06,9.657e-06,6e-05
4.05,33,6.082e-05,2.38e-07,1.332e-06,9.882e-06,6e-05
4.1,32,6.086e-05,2.457e-07,1.354e-06,1.012e-05,6e-05
4.15,31,6.09e-05,2.535e-07,1.375e-06,1.036e-05,6e-05
4.2,31,6.095e-05,2.654e-07,1.44e-06,1.06e-05,6e-05
4.25,31,6.099e-05,2.779e-07,1.508e-06,1.085e-05,6e-05
4.3,30,6.104e-05,2.867e-07,1.53e-06,1.111e-05,6e-05
4.35,29,6.109e-05,2.955e-07,1.55e-06,1.137e-05,6e-05
4.4,29,6.114e-05,3.094e-07,1.624e-06,1.164e-05,6e-05
4.45,29,6.119e-05,3.24e-07,1.7e-06,1.191e-05,6e-05
4.5,28,6.125e-05,3.338e-07,1.721e-06,1.219e-05,6e-05
4.55,27,6.131e-05,3.437e-07,1.74e-06,1.249e-05,6e-05
4.6,27,6.137e-05,3.599e-07,1.822e-06,1.278e-05,6e-05
4.65,27,6.144e-05,3.769e-07,1.908e-06,1.308e-05,6e-05
4.7,27,6.151e-05,3.947e-07,1.998e-06,1.338e-05,6e-05
4.75,27,6.158e-05,4.133e-07,2.092e-06,1.369e-05,6e-05
4.8,26,6.165e-05,4.254e-07,2.113e-06,1.402e-05,6e-05
4.85,26,6.173e-05,4.454e-07,2.213e-06,1.435e-05,6e-05
4.9,26,6.182e-05,4.664e-07,2.317e-06,1.468e-05,6e-05
4.95,25,6.19e-05,4.798e-07,2.337e-06,1.504e-05,6e-05
5,25,6.199e-05,5.024e-07,2.448e-06,1.539e-05,6e-05
5.05,25,6.209e-05,5.261e-07,2.563e-06,1.575e-05,6e-05
5.1,25,6.219e-05,5.509e-07,2.684e-06,1.611e-05,6e-05
5.15,25,6.229e-05,5.768e-07,2.81e-06,1.649e-05,6e-05
5.2,25,6.24e-05,6.04e-07,2.943e-06,1.687e-05,6e-05
5.25,25,6.251e-05,6.325e-07,3.081e-06,1.727e-05,6e-05
5.3,25,6.263e-05,6.623e-07,3.227e-06,1.767e-05,6e-05
5.35,24,6.276e-05,6.812e-07,3.252e-06,1.81e-05,6e-05
5.4,24,6.289e-05,7.134e-07,3.405e-06,1.853e-05,6e-05
5.45,24,6.303e-05,7.47e-07,3.566e-06,1.896e-05,6e-05
5.5,24,6.317e-05,7.822e-07,3.734e-06,1.94e-05,6e-05
5.55,24,6.332e-05,8.19e-07,3.91e-06,1.985e-05,6e-05
5.6,23,6.348e-05,8.421e-07,3.935e-06,2.034e-05,6e-05
5.65,23,6.365e-05,8.818e-07,4.121e-06,2.082e-05,6e-05
5.7,22,6.382e-05,9.061e-07,4.141e-06,2.134e-05,6e-05
5.75,22,6.4e-05,9.488e-07,4.336e-06,2.183e-05,6e-05
5.8,22,6.419e-05,9.935e-07,4.54e-06,2.234e-05,6e-05
5.85,21,6.439e-05,1.02e-06,4.554e-06,2.29e-05,6e-05
5.9,21,6.46e-05,1.068e-06,4.769e-06,2.344e-05,6e-05
5.95,20,6.482e-05,1.095e-06,4.773e-06,2.403e-05,6e-05
6,19,6.504e-05,1.122e-06,4.766e-06,2.463e-05,6e-05
6.05,19,6.528e-05,1.175e-06,4.991e-06,2.521e-05,6e-05
6.1,19,6.553e-05,1.23e-06,5.226e-06,2.579e-05,6e-05
6.15,19,6.579e-05,1.288e-06,5.472e-06,2.64e-05,6e-05
6.2,19,6.606e-05,1.349e-06,5.73e-06,2.701e-05,6e-05
6.25,19,6.635e-05,1.413e-06,6e-06,2.764e-05,6e-05
6.3,19,6.665e-05,1.479e-06,6.283e-06,2.828e-05,6e-05
6.35,18,6.696e-05,1.515e-06,6.263e-06,2.901e-05,6e-05
6.4,18,6.728e-05,1.586e-06,6.558e-06,2.969e-05,6e-05
6.45,18,6.762e-05,1.661e-06,6.867e-06,3.038e-05,6e-05
6.5,18,6.798e-05,1.739e-06,7.191e-06,3.109e-05,6e-05
6.55,17,6.835e-05,1.78e-06,7.151e-06,3.19e-05,6e-05
6.6,17,6.874e-05,1.864e-06,7.488e-06,3.264e-05,6e-05
6.65,17,6.914e-05,1.952e-06,7.84e-06,3.34e-05,6e-05
6.7,17,6.957e-05,2.044e-06,8.21e-06,3.418e-05,6e-05
6.75,17,7.001e-05,2.14e-06,8.597e-06,3.498e-05,6e-05
6.8,17,7.048e-05,2.241e-06,9.002e-06,3.579e-05,6e-05
6.85,17,7.096e-05,2.346e-06,9.426e-06,3.662e-05,6e-05
6.9,17,7.147e-05,2.457e-06,9.87e-06,3.748e-05,6e-05
6.95,17,7.2e-05,2.573e-06,1.034e-05,3.835e-05,6e-05
7,17,7.256e-05,2.694e-06,1.082e-05,3.924e-05,6e-05
7.05,17,7.314e-05,2.821e-06,1.133e-05,4.016e-05,6e-05
7.1,16,7.374e-05,2.889e-06,1.126e-05,4.126e-05,6e-05
7.15,15,7.437e-05,2.954e-06,1.115e-05,4.24e-05,6e-05
