N_pix,T_mag,noise,noise_ro,noise_sky,noise_star,noise_sys
70.4,4,6.1e-05,3.562e-07,4.603e-06,1e-05,6e-05
68.99,4.05,6.105e-05,3.692e-07,4.738e-06,1.024e-05,6e-05
67.61,4.1,6.11e-05,3.827e-07,4.875e-06,1.047e-05,6e-05
66.26,4.15,6.115e-05,3.967e-07,4.979e-06,1.072e-05,6e-05
64.92,4.2,6.121e-05,4.112e-07,5.121e-06,1.097e-05,6e-05
63.61,4.25,6.127e-05,4.262e-07,5.267e-06,1.122e-05,6e-05
62.32,4.3,6.133e-05,4.418e-07,5.373e-06,1.149e-05,6e-05
61.05,4.35,6.139e-05,4.579e-07,5.524e-06,1.175e-05,6e-05
59.8,4.4,6.146e-05,4.745e-07,5.678e-06,1.203e-05,6e-05
58.57,4.45,6.153e-05,4.918e-07,5.835e-06,1.231e-05,6e-05
57.37,4.5,6.16e-05,5.096e-07,5.944e-06,1.259e-05,6e-05
56.19,4.55,6.167e-05,5.281e-07,6.105e-06,1.289e-05,6e-05
55.03,4.6,6.175e-05,5.473e-07,6.27e-06,1.319e-05,6e-05
53.88,4.65,6.184e-05,5.671e-07,6.438e-06,1.349e-05,6e-05
52.76,4.7,6.193e-05,5.877e-07,6.609e-06,1.381e-05,6e-05
51.66,4.75,6.202e-05,6.089e-07,6.783e-06,1.413e-05,6e-05
50.58,4.8,6.211e-05,6.31e-07,6.961e-06,1.446e-05,6e-05
49.52,4.85,6.221e-05,6.538e-07,7.141e-06,1.48e-05,6e-05
48.48,4.9,6.231e-05,6.775e-07,7.251e-06,1.514e-05,6e-05
47.46,4.95,6.242e-05,7.02e-07,7.434e-06,1.55e-05,6e-05
46.46,5,6.253e-05,7.273e-07,7.62e-06,1.586e-05,6e-05
45.48,5.05,6.265e-05,7.536e-07,7.809e-06,1.623e-05,6e-05
44.52,5.1,6.278e-05,7.807e-07,8.09e-06,1.661e-05,6e-05
43.58,5.15,6.291e-05,8.089e-07,8.289e-06,1.699e-05,6e-05
42.65,5.2,6.305e-05,8.381e-07,8.489e-06,1.739e-05,6e-05
41.75,5.25,6.319e-05,8.683e-07,8.693e-06,1.78e-05,6e-05
40.86,5.3,6.334e-05,8.996e-07,8.898e-06,1.821e-05,6e-05
39.99,5.35,6.349e-05,9.321e-07,9.106e-06,1.864e-05,6e-05
39.13,5.4,6.365e-05,9.657e-07,9.316e-06,1.907e-05,6e-05
38.3,5.45,6.382e-05,1e-06,9.527e-06,1.952e-05,6e-05
37.48,5.5,6.399e-05,1.037e-06,9.74e-06,1.998e-05,6e-05
36.68,5.55,6.419e-05,1.074e-06,1.009e-05,2.044e-05,6e-05
35.9,5.6,6.438e-05,1.113e-06,1.031e-05,2.092e-05,6e-05
35.14,5.65,6.458e-05,1.153e-06,1.054e-05,2.141e-05,6e-05
34.39,5.7,6.479e-05,1.195e-06,1.076e-05,2.191e-05,6e-05
33.66,5.75,6.503e-05,1.237e-06,1.115e-05,2.242e-05,6e-05
32.94,5.8,6.526e-05,1.283e-06,1.139e-05,2.296e-05,6e-05
32.24,5.85,6.549e-05,1.331e-06,1.163e-05,2.35e-05,6e-05
31.56,5.9,6.577e-05,1.379e-06,1.205e-05,2.405e-05,6e-05
30.89,5.95,6.603e-05,1.43e-06,1.23e-05,2.462e-05,6e-05
30.24,6,6.63e-05,1.483e-06,1.255e-05,2.521e-05,6e-05
29.6,6.05,6.661e-05,1.536e-06,1.3e-05,2.58e-05,6e-05
28.98,6.1,6.69e-05,1.594e-06,1.326e-05,2.642e-05,6e-05
28.37,6.15,6.721e-05,1.654e-06,1.352e-05,2.705e-05,6e-05
27.78,6.2,6.757e-05,1.713e-06,1.401e-05,2.768e-05,6e-05
27.2,6.25,6.79e-05,1.778e-06,1.427e-05,2.835e-05,6e-05
26.64,6.3,6.829e-05,1.842e-06,1.479e-05,2.901e-05,6e-05
26.09,6.35,6.865e-05,1.913e-06,1.506e-05,2.971e-05,6e-05
25.55,6.4,6.908e-05,1.982e-06,1.561e-05,3.04e-05,6e-05
25.03,6.45,6.947e-05,2.058e-06,1.589e-05,3.114e-05,6e-05
24.53,6.5,6.994e-05,2.133e-06,1.647e-05,3.186e-05,6e-05
24.03,6.55,7.037e-05,2.217e-06,1.677e-05,3.265e-05,6e-05
23.55,6.6,7.088e-05,2.298e-06,1.739e-05,3.341e-05,6e-05
23.08,6.65,7.135e-05,2.389e-06,1.77e-05,3.424e-05,6e-05
22.63,6.7,7.19e-05,2.477e-06,1.835e-05,3.503e-05,6e-05
22.19,6.75,7.242e-05,2.577e-06,1.867e-05,3.591e-05,6e-05
21.76,6.8,7.302e-05,2.672e-06,1.936e-05,3.674e-05,6e-05
21.34,6.85,7.358e-05,2.781e-06,1.968e-05,3.767e-05,6e-05
20.93,6.9,7.423e-05,2.884e-06,2.041e-05,3.854e-05,6e-05
20.54,6.95,7.492e-05,2.991e-06,2.117e-05,3.944e-05,6e-05
20.16,7,7.555e-05,3.114e-06,2.152e-05,4.044e-05,6e-05
19.79,7.05,7.629e-05,3.231e-06,2.232e-05,4.138e-05,6e-05
19.43,7.1,7.697e-05,3.365e-06,2.266e-05,4.242e-05,6e-05
19.08,7.15,7.778e-05,3.492e-06,2.351e-05,4.341e-05,6e-05
18.74,7.2,7.862e-05,3.624e-06,2.44e-05,4.442e-05,6e-05
18.42,7.25,7.94e-05,3.78e-06,2.477e-05,4.556e-05,6e-05
18.1,7.3,8.032e-05,3.924e-06,2.572e-05,4.662e-05,6e-05
17.8,7.35,8.128e-05,4.074e-06,2.67e-05,4.771e-05,6e-05
17.5,7.4,8.228e-05,4.231e-06,2.773e-05,4.882e-05,6e-05
17.22,7.45,8.319e-05,4.418e-06,2.814e-05,5.01e-05,6e-05
16.94,7.5,8.428e-05,4.589e-06,2.923e-05,5.126e-05,6e-05
16.67,7.55,8.542e-05,4.767e-06,3.036e-05,5.246e-05,6e-05
16.42,7.6,8.65e-05,4.994e-06,3.086e-05,5.39e-05,6e-05
16.17,7.65,8.773e-05,5.19e-06,3.207e-05,5.515e-05,6e-05
15.93,7.7,8.902e-05,5.394e-06,3.333e-05,5.644e-05,6e-05
15.7,7.75,9.037e-05,5.607e-06,3.465e-05,5.775e-05,6e-05
15.48,7.8,9.161e-05,5.879e-06,3.517e-05,5.934e-05,6e-05
15.27,7.85,9.307e-05,6.113e-06,3.657e-05,6.073e-05,6e-05
15.06,7.9,9.46e-05,6.358e-06,3.804e-05,6.214e-05,6e-05
14.87,7.95,9.619e-05,6.614e-06,3.957e-05,6.359e-05,6e-05
14.68,8,9.786e-05,6.882e-06,4.117e-05,6.507e-05,6e-05
14.5,8.05,9.937e-05,7.23e-06,4.179e-05,6.69e-05,6e-05
14.32,8.1,0.0001012,7.526e-06,4.35e-05,6.846e-05,6e-05
14.15,8.15,0.0001031,7.834e-06,4.528e-05,7.006e-05,6e-05
13.99,8.2,0.000105,8.157e-06,4.715e-05,7.169e-05,6e-05
13.84,8.25,0.0001071,8.495e-06,4.91e-05,7.336e-05,6e-05
13.7,8.3,0.0001092,8.848e-06,5.114e-05,7.507e-05,6e-05
13.56,8.35,0.0001115,9.217e-06,5.328e-05,7.682e-05,6e-05
13.42,8.4,0.0001135,9.716e-06,5.411e-05,7.906e-05,6e-05
13.29,8.45,0.0001159,1.013e-05,5.639e-05,8.09e-05,6e-05
13.17,8.5,0.0001184,1.055e-05,5.878e-05,8.279e-05,6e-05
13.06,8.55,0.0001211,1.1e-05,6.128e-05,8.472e-05,6e-05
12.95,8.6,0.0001238,1.147e-05,6.39e-05,8.669e-05,6e-05
12.84,8.65,0.0001267,1.196e-05,6.663e-05,8.871e-05,6e-05
